"Bug ID","Version"
851042,"Trunk"
851099,"22 Branch"
852492,"unspecified"
854879,"unspecified"
855785,"20 Branch"
857859,"unspecified"
858028,"20 Branch"
858448,"Trunk"
858949,"21 Branch"
859317,"Trunk"
860914,"20 Branch"
862056,"20 Branch"
862623,"22 Branch"
863474,"Trunk"
863514,"Trunk"
863913,"20 Branch"
864673,"23 Branch"
865086,"22 Branch"
865280,"20 Branch"
865953,"20 Branch"
866071,"20 Branch"
866172,"22 Branch"
867240,"21 Branch"
867429,"20 Branch"
867858,"20 Branch"
868095,"20 Branch"
868712,"Trunk"
869078,"Trunk"
870309,"unspecified"
870546,"22 Branch"
870549,"22 Branch"
870715,"23 Branch"
871257,"17 Branch"
872400,"Trunk"
872495,"21 Branch"
872761,"Trunk"
873377,"21 Branch"
874107,"21 Branch"
874232,"unspecified"
874408,"unspecified"
874482,"11 Branch"
875904,"unspecified"
876041,"Trunk"
877649,"Trunk"
877856,"Trunk"
879609,"unspecified"
880101,"Trunk"
880148,"unspecified"
880708,"23 Branch"
881027,"23 Branch"
881035,"22 Branch"
881937,"unspecified"
882485,"unspecified"
882623,"Trunk"
883447,"unspecified"
886312,"unspecified"
887078,"22 Branch"
887129,"22 Branch"
889427,"23 Branch"
891298,"unspecified"
891365,"Trunk"
891560,"Trunk"
891735,"25 Branch"
891897,"Trunk"
892204,"Trunk"
893156,"22 Branch"
893862,"25 Branch"
894063,"Trunk"
894424,"22 Branch"
895672,"Trunk"
896152,"23 Branch"
897360,"22 Branch"
897712,"Trunk"
898205,"Trunk"
898529,"22 Branch"
898706,"Trunk"
898882,"25 Branch"
904955,"Trunk"
906358,"23 Branch"
906838,"23 Branch"
906871,"23 Branch"
909898,"23 Branch"
910749,"Trunk"
911607,"unspecified"
913474,"Trunk"
913530,"26 Branch"
917796,"25 Branch"
919366,"Trunk"
921039,"24 Branch"
921216,"26 Branch"
922323,"Trunk"
922737,"Trunk"
923937,"24 Branch"
924266,"Trunk"
924803,"27 Branch"
925156,"27 Branch"
925872,"unspecified"
926080,"Trunk"
926373,"24 Branch"
926579,"Trunk"
927134,"unspecified"
928273,"24 Branch"
928311,"unspecified"
928626,"27 Branch"
928664,"25 Branch"
929038,"unspecified"
930859,"unspecified"
932788,"24 Branch"
932809,"25 Branch"
933303,"unspecified"
933470,"25 Branch"
933917,"Trunk"
933993,"26 Branch"
935457,"Trunk"
935642,"26 Branch"
936987,"unspecified"
936990,"unspecified"
937712,"25 Branch"
938460,"26 Branch"
939862,"Trunk"
940093,"28 Branch"
940172,"25 Branch"
